iter	Passed	Remaining
213	119959	160319
214	120107	159212
215	120655	158639
216	121235	158108
217	121544	157227
218	122147	156728
219	122325	155686
220	122869	155115
221	123411	154542
222	123984	154007
223	124484	153382
224	125142	152952
225	125369	151996
226	125787	151277
227	125999	150314
228	126643	149870
229	127299	149438
230	127917	148959
231	128071	147944
232	128243	146957
233	128868	146492
234	129038	145511
235	129748	145142
236	130457	144769
237	131118	144340
238	131606	143721
239	131763	142743
240	131909	141762
241	132054	140785
242	132640	140282
243	132942	139480
244	133548	138999
245	133823	138175
246	134056	137312
247	134804	136978
248	135579	136668
249	136242	136242
250	136906	135815
251	137052	134877
252	137321	134064
253	137930	133586
254	138532	133099
255	139130	132608
256	139679	132070
257	140194	131500
258	140817	131030
259	141381	130506
260	141529	129599
261	142074	129060
262	142632	128532
263	143184	127997
264	143753	127479
265	143901	126590
266	144506	126105
267	145111	125618
268	145665	125088
269	145813	124211
270	146404	123714
271	146676	122949
272	146947	122187
273	147477	121642
274	148066	121145
275	148677	120665
276	149272	120172
277	149877	119686
278	150484	119201
279	151078	118704
280	151686	118217
281	152299	117735
282	152819	117179
283	153437	116698
284	153591	115866
285	154209	115387
286	154742	114844
287	155323	114335
288	155942	113854
289	156581	113386
290	157132	112854
291	157798	112404
292	158366	111883
293	158965	111383
294	159587	110899
295	160207	110413
296	160856	109945
297	161489	109465
298	162065	108947
299	162624	108416
300	163163	107872
301	163795	107388
302	164592	107012
303	165202	106512
304	165824	106018
305	166408	105500
306	166965	104965
307	167511	104422
308	168120	103919
309	168703	103398
310	169256	102860
311	169827	102332
312	170390	101799
313	171040	101317
314	171682	100829
315	172286	100318
316	172907	99817
317	173451	99271
318	174065	98764
319	174676	98255
320	175279	97741
321	175877	97224
322	176507	96723
323	177135	96221
324	177734	95703
325	178399	95219
326	179010	94705
327	179605	94183
328	180229	93675
329	180795	93136
330	181363	92599
331	181971	92081
332	182580	91564
333	183248	91075
334	183882	90568
335	184526	90066
336	185070	89514
337	185716	89012
338	186369	88511
339	187029	88014
340	187577	87462
341	188119	86909
342	188685	86366
343	189302	85846
344	189851	85295
345	190471	84776
346	191079	84251
347	191704	83732
348	192279	83192
349	192985	82708
350	193578	82174
351	194227	81663
352	194804	81122
353	195445	80607
354	196052	80077
355	196713	79569
356	197312	79035
357	197965	78522
358	198606	78004
359	199179	77458
360	199740	76908
361	200340	76372
362	200869	75810
363	201404	75250
364	201956	74696
365	202576	74167
366	203112	73607
367	203722	73074
368	204287	72524
369	204886	71987
370	205497	71453
371	206123	70924
372	206802	70412
373	207393	69870
374	207946	69315
375	208559	68780
376	209104	68222
377	209684	67676
378	210274	67132
379	210867	66589
380	211494	66057
381	212068	65508
382	212651	64961
383	213214	64408
384	213812	63865
385	214342	63303
386	214923	62755
387	215475	62199
388	216106	61665
389	216695	61119
390	217244	60561
391	217781	60000
392	218433	59471
393	218979	58913
394	219578	58368
395	220113	57807
396	220748	57272
397	221373	56733
398	221967	56187
399	222567	55641
400	223194	55102
401	223835	54566
402	224448	54023
403	225030	53472
404	225611	52921
405	226169	52364
406	226755	51813
407	227321	51258
408	227711	50664
409	228417	50140
410	229063	49602
411	229479	49014
412	230041	48459
413	230514	47884
414	231056	47324
415	231619	46769
416	232045	46186
417	232615	45632
418	233265	45094
419	233889	44550
420	234542	44011
421	235152	43464
422	235824	42927
423	236398	42373
424	237043	41831
425	237697	41290
426	238344	40747
427	238890	40187
428	239414	39623
429	239982	39066
430	240599	38518
431	241198	37966
432	241701	37399
433	242174	36828
434	242747	36272
435	243275	35710
436	243884	35159
437	244496	34609
438	245138	34062
439	245741	33510
440	246352	32958
441	246972	32408
442	247592	31857
443	248202	31304
444	248781	30748
445	249385	30194
446	249998	29641
447	250583	29085
448	251122	28523
449	251769	27974
450	252450	27428
451	253041	26871
452	253727	26324
453	254383	25774
454	255068	25226
455	255656	24668
456	256331	24118
457	256918	23560
458	257500	23001
459	258155	22448
460	258794	21893
461	259362	21332
462	259936	20772
463	260517	20212
464	261159	19657
465	261803	19101
466	262426	18544
467	263011	17983
468	263659	17427
469	264290	16869
470	264857	16307
471	265416	15745
472	266056	15187
473	266695	14628
474	267243	14065
475	267816	13503
476	268471	12945
477	269020	12381
478	269663	11822
479	270275	11261
480	270954	10703
481	271516	10139
482	272155	9578
483	272661	9013
484	273289	8452
485	273864	7889
486	274425	7325
487	275076	6764
488	275682	6201
489	276357	5639
490	276893	5075
491	277437	4511
492	278013	3947
493	278628	3384
494	279292	2821
495	279913	2257
496	280551	1693
497	281198	1129
498	281829	564
499	282425	0
